Feature,Importance,Cumulative
income,0.96116877,0.96116877
education_College,0.0067631267,0.96793187
gender_Male,0.0049455836,0.97287744
region_West,0.004200871,0.9770783
education_HighSchool,0.0035416663,0.98061997
product_category_Books,0.0035070353,0.984127
product_category_Clothing,0.0031019945,0.987229
age,0.0029261974,0.99015516
product_category_Electronics,0.0027266727,0.99288183
satisfaction_score,0.002565913,0.99544775
loyalty_status_Silver,0.0024060742,0.9978538
region_South,0.002145876,0.9999997
region_North,0.0,0.9999997
education_Masters,0.0,0.9999997
loyalty_status_Regular,0.0,0.9999997
purchase_frequency_occasional,0.0,0.9999997
purchase_frequency_rare,0.0,0.9999997
promotion_usage,0.0,0.9999997
product_category_Food,0.0,0.9999997
product_category_Health,0.0,0.9999997
product_category_Home,0.0,0.9999997
